OBJECTID,NAME,Cnt_NAME
1,,0
2, ,1
3, I 196,1
4,10 Th,1
5,100th,5
6,101st,84
7,102nd,354
8,103rd,168
9,104th,268
10,105th,214
11,106th,296
12,107th,168
13,108th,505
14,109th,360
15,10th,438
16,10th St,1
17,110th,222
18,111th,159
19,112th,242
20,113th,193
21,114th,181
22,115th,80
23,116th,332
24,116TH,1
25,117th,78
26,118th,304
27,119th,45
28,11th,104
29,120th,178
30,121st,120
31,122nd,367
32,123rd,78
33,124th,436
34,125th,154
35,126th,275
36,126TH,1
37,127th,131
38,128th,223
39,128th Ave,1
40,129th,170
41,12th,256
42,130th,168
43,131st,74
44,132nd,208
45,133rd,148
46,134th,219
47,135th,245
48,136th,384
49,137th,175
50,138th,384
51,139th,82
52,13th,124
53,140th,373
54,141st,134
55,142nd,634
56,143rd,208
57,144th,382
58,145th,124
59,146th,480
60,146th Ave,1
61,147th,162
62,14th,182
63,15th,93
64,160th,1
65,16th,272
66,16th St,4
67,17th,58
68,18th,240
69,19th,116
70,1st,31
71,20th,144
72,21st,154
73,22nd,161
74,23 1/2,1
75,23rd,63
76,24th,121
77,25-1/2,4
78,25th,38
79,26th,286
80,26th St,1
81,27th,60
82,28th,113
83,29th,19
84,2nd,220
85,2nd Division,14
86,30th,283
87,31st,12
88,32nd,599
89,32nd St,1
90,33rd,198
91,34th,401
92,35th,253
93,36th,220
94,37th,150
95,38-1/2,14
96,38th,260
97,39th,127
98,3rd,35
99,40th,297
100,41st,97
101,42nd,125
102,43rd,58
103,44th,165
104,44th St,1
105,45th,45
106,46th,126
107,47th,130
108,48th,287
109,49th,69
110,4th,208
111,4TH,1
112,50th,93
113,51st,64
114,52nd,143
115,53rd,144
116,54th,227
117,55th,145
118,56th,325
119,57th,72
120,58th,245
121,59th,38
122,5th,176
123,60th,277
124,61st,73
125,62nd,261
126,63rd,129
127,64th,372
128,65th,146
129,66th,299
130,67th,13
131,68th,142
132,69th,8
133,6th,156
134,7 MILE,4
135,70th,79
136,71st,68
137,72nd,30
138,74th,54
139,76th,2
140,7th,94
141,80th,2
142,8th,136
143,9 MILE,62
144,9th,108
145,A,10
146,A Exit NB US131,1
147,A Exit NB US31,1
148,A Exit SB US131,1
149,A Exit SB US31,1
150,Abbey,8
151,Abigail,1
152,Academy,36
153,Acorn,29
154,Adams,18
155,ADROUNIE,3
156,Advent Lake,4
157,Agnes,6
158,Airport,3
159,Airview,1
160,Airway,20
161,Alberta,10
162,Alden,34
163,Alexa,8
164,Alexander,3
165,Alivia,22
166,Allegan,363
167,Allegan County Fair,1
168,Allegan Dam,109
169,Allen,46
170,Allett,6
171,Alpine,35
172,Alyssa,3
173,Amash Industria,1
174,Ameilia,7
175,Amelia,11
176,Ames,5
177,Amity,54
178,Amphitheater,2
179,Amphitheatre,7
180,Ampitheatre,1
181,ANCHOR COVE,26
182,Anderson,40
183,Andrea's,3
184,Andrews,5
185,Ann,23
186,Anns,4
187,Ansbury,18
188,Anthony,7
189,Anvil,11
190,Apollo,27
191,Apple,30
192,Apple Blossom,26
193,Appleton,6
194,Appy,5
195,Arbor,27
196,Arbor Creek,5
197,Arcadia,1
198,Ardmore,10
199,Argon,3
200,Ariel,11
201,Arlene,8
202,Armstrong,1
203,Arndt,20
204,Arndt's,4
205,Arnold,14
206,Arrow,3
