OBJECTID,NAME2,Cnt_NAME2
1,,0
2, ,58018
3,102nd,1
4,10th,3
5,113th,1
6,114th,1
7,116th,1
8,124th,1
9,130th,3
10,132nd,2
11,135th,1
12,136th,3
13,142nd,4
14,144th,1
15,22nd,1
16,25th,1
17,2nd,3
18,32nd,1
19,3rd,3
20,44th,3
21,55th,1
22,56th,1
23,58th,1
24,62nd,1
25,66th,6
26,68th,2
27,74th,11
28,Airway,1
29,Amphitheater,1
30,Arrowhead,1
31,Bauman's Grove,7
32,Beach,2
33,Blue Star,6
34,Browning,1
35,Canter,1
36,Cherry,7
37,Co Rd 687,9
38,Countryview,1
39,County Road 653,4
40,Cross Oaks,4
41,Deepwoods,4
42,Division,10
43,Dolphin,1
44,Doster,1
45,Douglas,1
46,Duck Lake,1
47,East Selkirk Lake,14
48,Fabun,1
49,Fifth,3
50,Fork,14
51,Fourth,4
52,Grant,2
53,Gray Fox,2
54,Hamilton,1
55,Helen,1
56,Helen Joy,1
57,Hemlock,1
58,Hide A Way,2
59,Hill,4
60,Jane,1
61,Jefferson,1
62,Jenner,5
63,Kalamazoo,1
64,Lake,6
65,Lake Michigan,10
66,Lake Sixteen,12
67,Lake Woods,11
68,Lakeshore,2
69,Lakewoods,1
70,Lincoln,3
71,Lochness,1
72,Luciel,1
73,M-89,202
74,M-90,1
75,M 40,3
76,M 89,129
77,Melvin,3
78,Monterey Bay,1
79,N W Shore,1
80,North,1
81,North Summer Grove,1
82,Oak Valley,1
83,Oaks,4
84,Oaks Crossing,1
85,Od,1
86,One Point of View,1
87,Otis,7
88,Patterson,2
89,Polk,1
90,Redman,2
91,Riverbend,1
92,Riverside,1
93,Selkirk Lake,1
94,Shore,7
95,Sixth,3
96,Stoneridge,1
97,Swan Lake,23
98,Third,1
99,Trappers,1
100,Vienna Strauss,10
101,Walter Reynolds,1
102,Washington,1
103,Wiley,1
104,Wooln,1
