FID,FMCD,UNIT,CODE,TWPRANGE,PROPERNAME,SHORTNAME,AREA,MAPCENTERX,MAPCENTERY,ZOOMSCALE,MAINTAINED,SPLITYEAR,TAXMAP,ORTHO1999,PARCELUPDA,SALESUPDAT,POP_2000,CADMAPS,POP_2010,HISPANIC,TYPE
0,55200,Monterey Twp,16,T3N  R13W,Monterey Township,MONTEREY,22921.669999999998000,3879180.950000000200000,127435.580000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,2065.000000000000000,MONTEREY,2356.000000000000000,69.000000000000000,Township
1,61620,Otsego City,54, ,Otsego City,Otsego,1330.490000000000000,3890490.129999999900000,107020.880000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,3933.000000000000000,OTSEGO CITY,3956.000000000000000,131.000000000000000,City
2,35720,Gun Plain Twp,08,T1N  R11W,Gun Plain Township,GUN_PLAIN,21956.790000000001000,3898390.560000000100000,107916.200000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,5637.000000000000000,GUN_PLAIN,5895.000000000000000,127.000000000000000,Township
3,71100,Salem Twp,19,T4N  R13W,Salem Township,SALEM,23031.580000000002000,3879268.529999999800000,137087.320000000010000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,3486.000000000000000,SALEM,4446.000000000000000,100.000000000000000,Township
4,37460,Heath Twp,09,T3N  R14W,Heath Township,HEATH,22908.520000000000000,3869568.759999999800000,127636.130000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,3100.000000000000000,HEATH,3317.000000000000000,91.000000000000000,Township
5,01260,Allegan City,51, ,Allegan City,Allegan,2739.969999999999800,3878919.819999999800000,115722.470000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,4838.000000000000000,ALLEGAN CITY,4998.000000000000000,190.000000000000000,City
6,01280,Allegan Twp,01,T2N  R13W,Allegan Township,ALLEGAN,20384.599999999999000,3879067.379999999900000,117779.300000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,4050.000000000000000,ALLEGAN,4406.000000000000000,88.000000000000000,Township
7,80620,Trowbridge Twp,21,T1N  R13W,Trowbridge Township,TROWBRIDGE,22896.240000000002000,3879068.387000000100000,108081.851200000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,2519.000000000000000,TROWBRIDGE,2502.000000000000000,48.000000000000000,Township
8,84580,Watson Twp,23,T2N  R12W,Watson Township,WATSON,23035.119999999999000,3888754.810000000100000,117690.710000000010000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,2086.000000000000000,WATSON,2063.000000000000000,46.000000000000000,Township
9,22680,Dorr Twp,05,T4N  R12W,Dorr Township,DORR,23111.430000000000000,3889012.490000000200000,136922.370000000000000,7.500000000000000,Y,2006,Y,Y,06/05/2013, ,6579.000000000000000,DORR,7439.000000000000000,154.000000000000000,Township
