OBJECTID,StreetIndexID,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ALTROADNAME,MUNICIPALITY,Directions,Status,Private,DateCreated,DateModified,GeoVerified,FrmatVerified,LocationID
1,1.000000000000000,,SUNSET COVE,LN,,,Cheshire Twp,"Runs southwest off the end of Sunset Cove Dr, (south off 102nd @ 3856 102nd)",Primary,1.000000000000000,8/26/2006 13:11:14,8/26/2006 13:11:14,0.000000000000000,0.000000000000000,0.000000000000000
2,2.000000000000000,W,ALLEGAN,ST,,M-89,Otsego City,"aka M-89, runs E&W",Primary,0.000000000000000,8/27/2006 5:10:34,8/27/2006 5:10:34,0.000000000000000,0.000000000000000,0.000000000000000
3,3.000000000000000,,SUNSET,LN,,,Dorr Twp,runs south off the west end of Sunset Dr,Primary,1.000000000000000,8/28/2006 9:29:55,8/28/2006 9:29:55,0.000000000000000,0.000000000000000,0.000000000000000
4,4.000000000000000,,HERITAGE NORTH,,,,Manlius Twp,"North off 133rd Ave, west of 48th St",Primary,1.000000000000000,8/28/2006 11:59:16,8/28/2006 11:59:16,0.000000000000000,0.000000000000000,0.000000000000000
5,5.000000000000000,,HERITAGE SOUTH,,,,Manlius Twp,"South off 133rd ave, west of 48th St",Primary,1.000000000000000,8/28/2006 12:02:46,8/28/2006 12:02:46,0.000000000000000,0.000000000000000,0.000000000000000
6,6.000000000000000,,COVE,CT,,,Salem Twp,Runs off Cove Dr at Iroquois Trl in Sandy Pines phase 4,Primary,1.000000000000000,9/11/2006 8:14:49,9/11/2006 8:14:49,0.000000000000000,0.000000000000000,78.000000000000000
7,7.000000000000000,,KENT,DR,,,Otsego Twp,"East off 18th St, south of 108th Ave",Primary,1.000000000000000,10/4/2006 21:15:16,10/4/2006 21:15:16,0.000000000000000,0.000000000000000,0.000000000000000
8,8.000000000000000,S,RIVERWALK,DR,,,Heath Twp,"South off 135th Ave, west of 44th St",Primary,1.000000000000000,10/8/2006 14:00:07,10/8/2006 14:00:07,0.000000000000000,0.000000000000000,73.000000000000000
9,9.000000000000000,,MEADOW POND,WAY,,,Heath Twp,"West off S Riverwalk Dr, (South off 135th,West of 44th)",Primary,1.000000000000000,10/8/2006 14:16:45,10/8/2006 14:16:45,0.000000000000000,0.000000000000000,73.000000000000000
10,10.000000000000000,,SHADY CREEK,DR,,,Dorr Twp,"South off 141st Ave, west of 21st St",Primary,1.000000000000000,10/13/2006 6:21:57,10/13/2006 6:21:57,0.000000000000000,0.000000000000000,0.000000000000000
11,11.000000000000000,,LINCOLN,RD,,M-89,Trowbridge Twp,AKA M-89 between 24th St and 28th St,Primary,0.000000000000000,10/18/2006 7:28:58,10/18/2006 7:28:58,0.000000000000000,0.000000000000000,0.000000000000000
