OBJECTID,BPT,Cnt_BPT
-1, ,303
-1,3000003,1
-1,3000004,1
-1,3000006,2
-1,3000007,1
-1,3000008,1
-1,3000009,1
-1,3000010,1
-1,3000011,1
-1,3000012,1
-1,3000014,1
-1,3000015,1
-1,3000016,1
-1,3000017,1
-1,3000019,1
-1,3000020,1
-1,3000021,2
-1,3000022,1
-1,3000023,1
-1,3000024,1
-1,3000025,1
-1,3000028,1
-1,3000030,1
-1,3000032,1
-1,3000033,1
-1,3000034,1
-1,3000036,1
-1,3000037,1
-1,3000039,1
-1,3000040,2
-1,3000041,1
-1,3000042,1
-1,3000043,1
-1,3000044,1
-1,3000045,1
-1,3000052,1
-1,3000055,1
-1,3000057,1
-1,3000058,1
-1,3000060,1
-1,3000061,1
-1,3000062,1
-1,3000063,1
-1,3000064,1
-1,3000065,1
-1,3000066,1
-1,3000068,1
-1,3000069,1
-1,3000071,1
-1,3000072,1
-1,3000073,1
-1,3000074,1
-1,3000075,1
-1,3000081,1
-1,3000082,1
-1,3000084,1
-1,3000085,1
-1,3000086,1
-1,3000088,1
-1,3000089,1
-1,3000090,1
-1,3000091,1
-1,3000092,1
-1,3000095,1
-1,3000096,1
-1,3000097,1
-1,3000098,1
-1,3000099,1
-1,3000100,1
-1,3000101,1
-1,3000102,1
-1,3000103,1
-1,3000104,1
-1,3000105,1
-1,3000106,1
-1,3000107,1
-1,3000109,1
-1,3000113,1
-1,3000115,2
-1,3000116,1
-1,3000117,1
-1,3000119,1
-1,3000120,1
-1,3000121,2
-1,3000122,1
-1,3000124,1
-1,3000125,1
-1,3000126,1
-1,3000127,1
-1,3000128,1
-1,3000129,1
-1,3000130,1
-1,3000131,1
-1,3000134,2
-1,3000135,1
-1,3000136,1
-1,3000137,1
-1,3000138,1
-1,3000140,2
-1,3000141,1
-1,3000143,1
-1,3000144,1
-1,3000145,1
-1,3000146,1
-1,3000147,1
-1,3000150,1
-1,3000153,2
-1,3000154,2
-1,3000156,1
-1,3000158,1
-1,3000159,1
-1,3000160,1
-1,3000161,1
-1,3000164,1
-1,3000165,1
-1,3000166,1
-1,3000168,1
-1,3000169,1
-1,3000170,1
-1,3000173,1
-1,3000174,1
-1,3000176,1
-1,3000178,1
-1,3000180,1
-1,3000181,1
-1,3000182,1
-1,3000184,1
-1,3000185,1
-1,3000189,1
-1,3000191,1
-1,3000192,1
-1,3000196,2
-1,3000198,1
-1,3000199,1
-1,3000200,1
-1,3000203,1
-1,3000204,2
-1,3000205,2
-1,3000207,1
-1,3000216,2
-1,3000217,2
-1,3000218,1
-1,3000219,2
-1,3000220,1
-1,3000222,1
-1,3000224,2
-1,3000229,2
-1,3000231,1
-1,3000232,1
-1,3000233,2
-1,3000243,2
-1,3000250,3
-1,3000274,1
-1,3000278,4
-1,3000279,3
-1,3000280,2
-1,3000283,1
-1,3000284,2
-1,3000289,1
-1,3000290,1
-1,3000293,2
-1,3000294,2
-1,3000295,2
-1,3000301,2
-1,3000302,1
-1,3000304,2
-1,3000305,2
-1,3000306,2
-1,3000307,2
-1,3000309,1
-1,3000311,1
-1,3000312,2
-1,3000313,1
-1,3000320,2
-1,3000322,1
-1,3000323,2
-1,3000328,2
-1,3000335,3
-1,3000345,1
-1,3000347,1
-1,3000348,2
-1,3000352,1
-1,3000361,2
-1,3000363,1
-1,3000365,2
-1,3000366,2
-1,3000367,1
-1,3000368,2
-1,3000369,2
-1,3000370,1
-1,3000372,3
-1,3000373,2
-1,3000376,2
-1,3000377,1
-1,3000383,2
-1,3000384,1
-1,3000386,1
-1,3000387,2
-1,3000388,2
-1,3000394,2
-1,3000398,2
-1,3000401,2
-1,3000407,1
-1,3000408,1
-1,3000410,2
-1,3000412,1
-1,3000413,1
-1,3000420,1
-1,3000426,2
-1,3000429,2
-1,3000430,2
-1,3000433,3
-1,3000435,1
-1,3000438,2
-1,3000439,2
-1,3000440,2
-1,3000446,1
-1,3000455,1
-1,3000456,2
-1,3000457,1
-1,3000469,1
-1,3000470,2
-1,3000475,1
-1,3000477,2
-1,3000478,1
-1,3000479,2
-1,3000480,2
-1,3000484,1
-1,3000496,1
-1,3000497,2
-1,3000498,2
-1,3000499,2
-1,3000502,2
-1,3000504,2
-1,3000505,2
-1,3000508,2
-1,3000510,2
-1,3000511,2
-1,3000513,1
-1,3000517,2
-1,3000520,1
-1,3000526,1
-1,3000530,1
-1,3000532,1
-1,3000533,1
-1,3000534,2
-1,3000535,1
-1,3000537,1
-1,3000538,1
-1,3000541,1
-1,3000542,2
-1,3000544,1
-1,3000546,2
-1,3000547,1
-1,3000548,1
-1,3000549,1
-1,3000550,1
-1,3000553,1
-1,3000554,2
-1,3000556,2
-1,3000557,1
-1,3000561,2
-1,3000563,2
-1,3000565,2
-1,3000567,2
-1,3000569,2
-1,3000573,2
-1,3000574,1
-1,3000575,1
-1,3000576,2
-1,3000577,2
-1,3000578,1
-1,3000579,2
-1,3000580,1
-1,3000581,1
-1,3000582,1
-1,3000584,1
-1,3000585,1
-1,3000586,2
-1,3000587,1
-1,3000588,1
-1,3000589,2
-1,3000591,1
-1,3000593,2
-1,3000594,1
-1,3000596,1
-1,3000598,2
-1,3000599,2
-1,3000600,2
-1,3000601,3
-1,3000602,1
-1,3000603,2
-1,3000609,1
-1,3000610,1
-1,3000616,2
-1,3000617,1
-1,3000619,1
-1,3000620,2
-1,3000622,1
-1,3000623,1
-1,3000628,2
-1,3000629,1
-1,3000630,1
-1,3000631,1
-1,3000632,2
-1,3000634,1
-1,3000636,2
-1,3000640,2
-1,3000643,1
-1,3000646,2
-1,3000647,2
-1,3000648,2
-1,3000651,1
-1,3000653,2
-1,3000655,2
-1,3000658,1
-1,3000662,2
-1,3000663,1
-1,3000666,1
-1,3000667,1
-1,3000670,1
-1,3000672,2
-1,3000673,1
-1,3000674,2
-1,3000679,2
-1,3000681,1
-1,3000687,2
-1,3000693,1
-1,3000697,2
-1,3000699,2
-1,3000712,2
-1,3000719,1
-1,3000721,2
-1,3000722,2
-1,3000724,1
-1,3000728,1
-1,3000729,1
-1,3000730,2
-1,3000731,1
-1,3000742,1
-1,3000744,1
-1,3000746,2
-1,3000749,1
-1,3000756,1
-1,3000759,2
-1,3000764,2
-1,3000775,1
-1,3000778,2
-1,3000789,1
-1,3000791,1
-1,3000793,2
-1,3000799,1
-1,3000812,1
-1,3000813,2
-1,3000815,2
-1,3000818,1
