OBJECTID,EDITNOTES,Cnt_EDITNOTES
-1, ,8890
-1, Added FETYPE,1
-1, REMOVE duplicative FENAME2/FETYPE2 (Same in both fields) + REMOVED FEDIRP + Corrected ADDRESSES,1
-1, REMOVE FEDIRP + Corrected ADDRESS RANGES,1
-1,"""New"" A90 (non-driveable, non-existant but certified County Local Rd) to balance out certified mileage",1
-1,03/03/2009,1
-1,"03/18/2009 modified, corrected range",2
-1,06/07/2012,1
-1,07/24/2012,1
-1,"20090520 modify, 20161003 extended range from 1930 to 1908",1
-1,20121010 Corrected FENAME + Added FEDIRP2/FENAME2/FETYPE2 + Corrected ADDRESS RANGES,1
-1,20130816 flipped fraddr and toaddr and changed address range numbers,1
-1,"20141201 Corrected address TOADDR, 20130508 REPOSITIONED to center of roadway + Corrected ADDRESS RANGES",1
-1,"20150828 chnage from B Ave to Mozart Ct, 20150724 change from S Ave to B Ave",1
-1,"20160216 corrected name, 20120628 SPLIT for Cul-de-sac + REPOSITIONED COMPLETELY + Corrected ADDRESS RANGES",1
-1,"20160216 corrected name, SPLIT 20160216 for Cul-de-sac (FCC = A43) + REPOSITIONED COMPLETELY + Corrected ADDRESS RANGES",1
-1,20170113 corrected from Grandterrace Dr to Grand Tranverse Dr,1
-1,20170505 corrected to Trl.  20160506 New private road Peninsula Dr,1
-1,add address range,7
-1,add address ranges,2
-1,Add FEDIRP,1
-1,"Add FENAME+FETYPE, Removed FENAME2+FETYPE2, Add ADDRESS RANGES + REPOSITION",1
-1,"Add FENAME2, corrected address ranges",1
-1,"Add FENAME2, FENAME3, FETYPE3, corrected address ranges",3
-1,"Add FENAME3, FETYPE3",2
-1,Add new DISCONTINUOUS segment of ANDREA'S LN with addresses,1
-1,Add new private cul-de-sac (FCC = 43) with address ranges,1
-1,Add new private road,1
-1,add ranges,1
-1,Add segment of private road with addresses,1
-1,Add segments for roundabout including ADDRESS RANGES,2
-1,added address range,6
-1,Added ADDRESS RANGE + Added TRAFALIGN,1
-1,Added ADDRESS RANGE.,1
-1,added address ranges,21
-1,Added ADDRESS RANGES,221
-1,Added ADDRESS RANGES (ODD + EVEN ON BOTH SIDES),1
-1,Added ADDRESS RANGES + Added FENAME2/FETYPE2,1
-1,Added ADDRESS RANGES + Corrected FENAME + Added FENAME2/FETYPE2 + FENAME3/FETYPE3,1
-1,Added ADDRESS RANGES + Corrected FENAME + REMOVED FETYPE,1
-1,Added ADDRESS RANGES + Remove FEDIRP + Corrected FENAME,1
-1,Added ADDRESS RANGES + REPOSITIONED,1
-1,Added ADDRESS RANGES and  ZIPs,1
-1,added address ranges and FEDIRP,1
-1,Added ADDRESS RANGES and ZIPs,10
-1,Added ADDRESS RANGES on Allegan Co side of the roadway.,2
-1,Added ADDRESS RANGES to left (west) side of segment.,3
-1,"added address ranges, added zipcodes",1
-1,"added address ranges, also modidfied 20090126",1
-1,"added address ranges, corrected fename and fetype",1
-1,Added ADDRESS RANGES. Again.,1
-1,Added ADDRESSES + Corrected FENAME/FETYPE + Corrected FENAME2/FETYPE2 + Added FENAME3/FETYPE3,2
-1,Added ADDRESSES + REPOSITIONED. This road has NOT YET BEEN BUILT and is positioned in the center of the RIGHT-OF-WAY,1
-1,Added ALL ADDRESS RANGES,1
-1,"Added ALL ADDRESS RANGES; Added ZIPL, ZIPR",1
-1,added due to completely messed up address ranges on Woodlea Dr,1
-1,Added FEDIRP,2
-1,Added FEDIRP + Added ADDRESS RANGES,2
-1,Added FEDIRP + Corrected ADDRESS RANGES,15
-1,Added FEDIRP + Corrected FENAME+FETYPE + REMOVED FEDIRP3+FENAME3+FETYPE3,3
-1,Added FEDIRP + Corrected FETYPE + Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES,3
-1,added fedirp and corrected address ranges,6
-1,Added FEDIRP2/FENAME2/FETYPE2 + Corrected ADDRESS RANGES,3
-1,Added FENAME,2
-1,Added FENAME + Added ADDRESSES + Change FCC from ""A65"" to ""A41"",3
-1,Added FENAME/FETYPE + Added ADDRESS RANGES,2
-1,Added FENAME/FETYPE + Added ADDRESS RANGES + Change FCC to ""A41"",2
-1,Added FENAME2,1
-1,Added FENAME2 (The secondary state trunkline route designation for this freeway),8
-1,Added FENAME2 + Corrected ADDRESS RANGES,2
-1,added fename2 and fetype2,2
-1,"Added FENAME2, corrected address ranges",1
-1,Added FENAME2/FETYPE2,4
-1,Added FENAME2/FETYPE2 + Added ADDRESS RANGES,4
-1,Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES,12
-1,Added FENAME2/FETYPE2 + Corrected ADDRESS RANGES + REPOSITIONED,3
-1,Added FENAME2/FETYPE2 + REPOSITIONED to center of roadway,1
-1,Added FENAME3/FETYPE3,2
-1,Added FETYPE,21
-1,Added FETYPE + Added ADDRESS RANGES,6
-1,Added FETYPE + corrected address ranges,2
-1,Added FETYPE + Corrected ADDRESS RANGES,5
-1,"Added FETYPE, corrected address ranges",2
-1,Added FETYPE. AGAIN.,2
-1,Added FETYPE2,1
-1,Added Intercounty Highway designation to FENAME2,14
-1,Added Intercounty Highway designation to FENAME2 + Corrected ADDRESS RANGES,7
-1,Added missing segment of CO. LOCAL road (bringing  total length to certified length of 0.29 miles),1
-1,Added missing segment of public (City Minor) street,1
-1,"added zips, corrected address ranges",2
-1,address range,4
-1,address range changed from 710 and 711 to 700 and 701,1
-1,address ranges,1
-1,also modified 20090128,2
-1,Certified Public Road does not exist (FCC = A90) and is not driveable + Changed FENAME2/FETYPE2,1
-1,Change FCC - This road does NOT physically exist (and is not driveable); FCC = A90,1
-1,Change FCC = A31& LEGALSYSTEM = 2 (NOT A RAMP ANYMORE) + REPOSITION + Fix FENAME/FETYPE + Fix ADDRESSES,1
-1,CHANGE FCC to ""A90"" (certified but not-driveable) - No Road Exists Here Any More.,1
-1,Change FCC to ""A90"" (Certified but Not-Driveable) + Added ADDRESS RANGES,1
-1,Change FCC to ""A90"" (Certified but Undriveable) + Added ADDRESS RANGES,1
-1,"Change FCC to A41 + Added FENAME, FENAME2 + Added ADDRESS RANGES",1
-1,"Change FCC to A41 + Added FENAME, FENAME2 + Corrected ADDRESS RANGES",2
-1,"Change FCC to A41 + Added FENAME/FETYPE, FENAME2 + Corrected ADDRESS RANGES",1
-1,"Change FCC to A90 - Road does not physically exist in ANY form (but may still be certified). If Uncertified, please DELE",1
-1,Change FCC to A90 - There is no actual or driveable roadway here + REMOVE FETYPE,1
-1,Change FCC to A90 - this road is certified but not driveable; verify with ACRC if necessary...,1
-1,change fename address ranges and redraw,1
-1,change fename and address range,1
-1,"change fename and address range, 20120618 Add new private (A41) road",1
-1,change fename and address ranges,1
-1,"change fename and address ranges ,modify 20090609",1
-1,"changed fename ,20120618 Corrected FENAME + Added ADDRESS RANGES",1
-1,Changed FENAME + Removed FETYPE + Added FENAME2 + Added FENAME3/FETYPE3,1
-1,"changed fename and address ranges, ,20120618 Corrected FENAME + Removed FEDIRP = Fixed ADDRESS RANGES",1
-1,"changed fename and address ranges, 20150718 Corrected FENAME + Removed FEDIRP = Fixed ADDRESS RANGES",1
-1,"changed Fename, also modified on 20120320",1
-1,"changed fename,20120618 Corrected FENAME + Removed FEDIRP",1
-1,Changed FETYPE from Rd to Dr per Otsego FD,1
-1,changed from South Geneva Lake Dr to S Geneva Lake Dr,1
-1,changed from West Geneva Lake Dr to W Geneva Lake Dr,1
-1,changed toaddl from 1848 to 1868 and toadder from 1849 to 1869,1
-1,"changed TOADDR to accommodate dispatch duplicate range in Saugatuck, 20121010 Added FETYPE + Corrected ADDRESS RANGES",1
-1,COMPLETELY REPOSITIONED entire segment to proper location + Corrected ADDRESSES,1
-1,Completely REPOSITIONED to proper location (it was WAY off),1
-1,corected address ranges,6
-1,correct address range,1
-1,correct address ranges,9
-1,Correct ADDRESS RANGES,3
-1,Correct ADDRESS RANGES + Remove incorrect FEDIRP,1
-1,"correct address ranges, modify 20090303",1
-1,"correct address ranges, modify on 20090303",1
-1,Correct ADDRESSES + Remove incorrect FEDIRP + Add FENAME2/FETYPE2,1
-1,Correct FENAME (based on correction of intersecting feature FENAME),4
-1,Correct FENAME + Add FETYPE + Add FENAME2 (SECOND REQUEST!) + REPOSITIONED north end of segment,2
-1,correct Fename from Ralynn to Raylynn,1
-1,"Correct FENAME, FETYPE, FENAME2 + Remove FETYPE2 + Add FENAME3, FETYPE3",3
-1,Correct FENAME/FETYPE + Add FENAME2/FETYPE2 + Add ADDRESS RANGES,1
-1,Correct FENAME2 + REMOVE FETYPE2 + Add FENAME3/FETYPE3,2
-1,Correct FENAME2 + Remove FETYPE2 + Add FENAME3/FETYPE3 + Correct ADDRESS RANGES,3
-1,Correct TOADDR,1
-1,corrected address range,55
-1,Corrected ADDRESS RANGE,2
-1,Corrected ADDRESS RANGE + Added TRAFALIGN,2
-1,corrected address range FRADDL starting at 202,1
-1,Corrected ADDRESS RANGE on left (west) side of segment.,9
-1,corrected address range TOADDR ending at 200,1
-1,"corrected address range, also modified 20090205",1
-1,"corrected address range, also modified 20090311",1
-1,"corrected address range, also modified 20090409",1
-1,"corrected address range, also modified 20090413",1
-1,"corrected address range, also modified 20090509",3
-1,"corrected address range, also modified 20090521",1
-1,"corrected address range, also modified 20090708",2
-1,"corrected address range, also modified 20090815",1
-1,"corrected address range, also modified 20120207",1
-1,Corrected ADDRESS RANGE.,1
-1,corrected address ranges,745
-1,Corrected ADDRESS RANGES,425
-1,Corrected ADDRESS RANGES (also modified 20090126),1
-1,"Corrected ADDRESS RANGES (yes, they are correct!)",3
