OBJECTID,EPT,Cnt_EPT
-1, ,303
-1,3000001,2
-1,3000003,1
-1,3000004,2
-1,3000006,1
-1,3000007,2
-1,3000008,2
-1,3000009,1
-1,3000010,3
-1,3000011,2
-1,3000012,1
-1,3000014,2
-1,3000015,2
-1,3000016,1
-1,3000017,2
-1,3000019,1
-1,3000020,2
-1,3000021,1
-1,3000022,2
-1,3000023,1
-1,3000024,2
-1,3000025,1
-1,3000028,1
-1,3000030,1
-1,3000032,1
-1,3000033,2
-1,3000034,2
-1,3000037,1
-1,3000039,1
-1,3000040,1
-1,3000041,1
-1,3000042,1
-1,3000043,1
-1,3000044,1
-1,3000045,1
-1,3000046,2
-1,3000052,2
-1,3000055,2
-1,3000057,1
-1,3000058,1
-1,3000060,2
-1,3000061,1
-1,3000062,2
-1,3000063,2
-1,3000064,1
-1,3000065,1
-1,3000066,1
-1,3000068,1
-1,3000069,2
-1,3000071,2
-1,3000072,2
-1,3000073,1
-1,3000074,1
-1,3000075,1
-1,3000077,1
-1,3000078,1
-1,3000081,2
-1,3000082,2
-1,3000084,1
-1,3000085,1
-1,3000086,1
-1,3000088,2
-1,3000089,1
-1,3000090,2
-1,3000091,2
-1,3000092,1
-1,3000095,1
-1,3000096,2
-1,3000097,1
-1,3000098,2
-1,3000099,2
-1,3000100,2
-1,3000101,1
-1,3000102,2
-1,3000103,1
-1,3000104,1
-1,3000105,2
-1,3000106,1
-1,3000107,1
-1,3000109,2
-1,3000113,2
-1,3000115,1
-1,3000116,1
-1,3000117,1
-1,3000118,1
-1,3000119,2
-1,3000120,1
-1,3000121,1
-1,3000122,1
-1,3000124,1
-1,3000125,1
-1,3000126,1
-1,3000127,2
-1,3000128,1
-1,3000129,1
-1,3000130,1
-1,3000131,1
-1,3000134,1
-1,3000135,1
-1,3000136,1
-1,3000137,2
-1,3000138,2
-1,3000140,1
-1,3000141,1
-1,3000143,2
-1,3000144,2
-1,3000145,1
-1,3000146,1
-1,3000147,1
-1,3000150,1
-1,3000153,1
-1,3000154,1
-1,3000156,1
-1,3000158,1
-1,3000159,1
-1,3000160,2
-1,3000161,1
-1,3000164,1
-1,3000165,1
-1,3000166,1
-1,3000168,1
-1,3000169,1
-1,3000170,1
-1,3000173,2
-1,3000174,1
-1,3000176,1
-1,3000178,1
-1,3000180,1
-1,3000181,1
-1,3000182,1
-1,3000184,2
-1,3000185,1
-1,3000189,1
-1,3000190,2
-1,3000191,1
-1,3000192,1
-1,3000194,1
-1,3000196,1
-1,3000198,3
-1,3000199,1
-1,3000200,1
-1,3000203,1
-1,3000204,2
-1,3000205,1
-1,3000206,1
-1,3000207,1
-1,3000215,2
-1,3000216,1
-1,3000217,2
-1,3000218,1
-1,3000219,2
-1,3000220,2
-1,3000222,2
-1,3000224,2
-1,3000225,1
-1,3000227,1
-1,3000229,2
-1,3000231,1
-1,3000233,2
-1,3000243,1
-1,3000244,1
-1,3000247,1
-1,3000250,1
-1,3000252,1
-1,3000253,1
-1,3000258,1
-1,3000266,1
-1,3000269,1
-1,3000274,2
-1,3000279,1
-1,3000280,1
-1,3000283,2
-1,3000284,1
-1,3000289,1
-1,3000290,2
-1,3000292,1
-1,3000293,2
-1,3000294,1
-1,3000295,2
-1,3000296,1
-1,3000301,2
-1,3000302,2
-1,3000304,1
-1,3000305,1
-1,3000306,2
-1,3000307,2
-1,3000309,1
-1,3000311,1
-1,3000312,1
-1,3000313,2
-1,3000320,2
-1,3000322,1
-1,3000323,1
-1,3000327,1
-1,3000328,1
-1,3000334,1
-1,3000337,1
-1,3000345,1
-1,3000346,1
-1,3000347,2
-1,3000348,1
-1,3000349,1
-1,3000352,1
-1,3000358,1
-1,3000361,2
-1,3000363,1
-1,3000365,1
-1,3000367,1
-1,3000368,2
-1,3000369,1
-1,3000370,2
-1,3000376,2
-1,3000377,1
-1,3000383,1
-1,3000384,2
-1,3000386,1
-1,3000387,2
-1,3000388,2
-1,3000394,2
-1,3000398,1
-1,3000401,1
-1,3000402,1
