OBJECTID,FENAME,Cnt_FENAME
1, ,174
2,1 Cobblestone,1
3,100th,2
4,101st,23
5,102nd,82
6,103rd,32
7,103rd/52nd Cutoff,1
8,104th,63
9,104th/40th Cutoff,1
10,105th,32
11,106th,61
12,106th/N US 131,1
13,107th,41
14,108th,84
15,109th,76
16,109th/N I 196,1
17,109th/S I 196,1
18,10th,51
19,10th/137th Cutoff (Obliterated),1
20,110th,58
21,111th,32
22,112th,64
23,113th,28
24,114th,45
25,115th,14
26,116th,76
27,116th/N US 131,1
28,116th/S US 131,1
29,117th,21
30,118th,82
31,119th,16
32,11th,21
33,120th,75
34,121st,33
35,121st/15th Cutoff,1
36,122nd,80
37,123rd,30
38,124th,79
39,124th/N I 196,1
40,124th/N US 131,1
41,124th/S I 196,1
42,125th,40
43,126th,73
44,127th,47
45,128th,73
46,128th/47th Cutoff,1
47,129th,32
48,129th/N US 131,2
49,12th,64
50,12th/S US 131,2
51,130th,56
52,131st,20
53,132nd,61
54,133rd,55
55,134th,60
56,135th,51
57,135th/N US 131,1
58,135th/S US 131,1
59,136th,97
60,136th/63rd Cutoff,1
61,137th,32
62,138th,73
63,139th,21
64,13th,27
65,140th,99
66,141st,35
67,142nd,125
68,142nd/N US 131,1
69,142nd/S US 131,1
70,143rd,43
71,144th,102
72,145th,26
73,146th,103
74,147th,53
75,14th,41
76,15th,22
77,16th,59
78,17th,16
79,18th,52
80,19th,41
81,1st,8
82,2 Cobblestone,1
83,20th,45
84,21st,47
85,22nd,37
86,23rd,20
87,24th,40
88,25th,11
89,26th,66
90,27th,15
91,28th,43
92,29th,7
93,2nd,54
94,2nd Division,1
95,30th,63
96,31st,3
97,32nd,129
98,33rd,21
99,34th,65
100,35th,26
101,36th,49
102,37th,22
103,38 1/2,1
104,38th,51
105,39th,25
106,3rd,9
107,40th,61
108,41st,28
109,42nd,43
110,42nd/104th Cutoff,1
111,42nd/Baseline Cutoff,1
112,43rd,34
113,44th,56
114,45th,16
115,46th,44
116,46th/109th Cutoff,1
117,47th,35
118,48th,90
119,49th,17
120,4th,55
121,50th,30
122,51st,11
123,52nd,58
124,52nd/104th Cutoff,1
125,53rd,21
126,54th,48
127,54th/103rd Cutoff,1
128,55th,32
129,56th,60
130,56th/128th Cutoff,1
131,57th,19
132,58th,56
133,59th,19
134,5th,29
135,60th,71
136,61st,13
137,62nd,60
138,63rd,30
139,64th,79
140,65th,27
141,66th,69
142,67th,2
143,68th,20
144,69th,3
145,6th,39
146,70th,12
147,71st,12
148,72nd,6
149,74th,10
150,7th,29
151,8th,25
152,9th,24
153,A,6
154,Abandoned 118th,1
155,Abandoned 132nd,2
156,Abandoned Ridge,1
157,Abbey,1
158,Abigail,1
159,Academy,7
160,Acorn,6
161,Acres,1
162,Adams,7
163,Advent Lake,1
164,Agnes,2
165,Airport,3
166,Airview,1
167,Airway,7
168,Alberta,1
169,Alchandylissag,1
170,Alden,5
171,Alexa,2
172,Alexander,1
173,Alivia,3
174,Allan,1
175,Allegan,52
176,Allegan County Fair,2
177,Allegan Dam,15
178,Allegan Dam East BAS,4
179,Allegan High School East Access,3
180,Allegan High School Front Access,1
181,Allegan High School North Access,2
182,Allegan High School South Access,1
183,Allegan High School West Access,4
184,Allegan Lake BAS,1
185,Allegan/N US 131,1
186,Allen,4
187,Allett,1
188,Alley,6
189,Alpha,2
190,Alpine,3
191,Alyssa,1
192,Amash Industrial,1
193,Amelia,3
194,Ames,3
195,Amity,2
196,Ammerman,1
197,Ampitheatre,3
198,Ampitheatre/S Audubon Cutoff,2
199,Anderson,13
200,Andrea's,2
201,Andrews,2
202,Ann,2
203,Anna Michen,2
204,Anns,1
205,Ansbury,1
206,Anthony,2
207,Anvil,4
208,Apollo,10
209,Apple,11
210,Apple Blossom,3
211,Apple Ridge,2
212,Appleton,1
213,Appy Way,2
214,Arbor,8
215,Arbor Creek,2
216,Arcadia,1
217,Ardmore,1
218,Argon,1
219,Ariel,2
220,Arlene,2
221,Armintrout Ridge,2
222,Arndt,5
223,Arnold,2
224,Arrow,1
225,Arrowhead,11
226,Artisan Row,3
227,Ash,1
228,Ashland,1
229,Ashton,1
230,Ashville,1
231,Aspen,3
232,Aster,4
233,Atkins,2
234,Atlantic,5
235,Audubon,18
236,Autumn,7
237,Autumn Crest,1
238,Autumn Wood,5
239,Avis,2
240,Avon,1
241,Avonlea,2
242,Ayers,1
243,B,9
244,B J,5
245,Babylon,16
246,Bailey,1
247,Bailey's Cove,3
248,Baker,4
249,Balmoral,1
250,Banberry,2
251,Bandle,2
252,Bannister,1
253,Bardeen,2
254,Barnwood,3
255,Barton,6
256,Baseline,97
257,Baseline Lake,1
258,Baseline Lake BAS,3
259,Bass,1
260,Bauer,2
261,Baum,1
262,Bauman Grove,2
263,Bay Breeze,6
264,Bay Breeze/Winding Cutoff,1
265,Bayberry,1
266,Baylor,1
267,Bayou,6
268,Bayview,8
269,Beach,6
270,Beach Glass,1
271,Beach House,1
272,Beachview,1
273,Bear Creek,1
274,Bedford,2
275,Beech,8
276,Beechnut,5
277,Beechwood,5
278,Beeline,11
279,Beethoven,6
280,Begonia,2
281,Belgrave,4
282,Bellwood,3
283,Belmont,2
284,Ben,2
285,Bendemeer,3
286,Benhoy,4
287,Benjamin,1
288,Benny,1
289,Bent Ridge,2
290,Beretta,1
291,Beth,2
292,Beverly,1
293,Big Lake,2
294,Big Lake BAS,1
295,Big Sable,2
296,Big Timber,5
297,Birch,5
298,Birchmoor,1
299,Birchwood,4
300,Birds Nest,1
301,Birmingham,2
302,Biscayne,2
303,Blackstone,2
304,Blake,2
305,Blarney,1
306,Bliss,2
307,Bloomfield,2
308,Blue Goose,3
309,Blue Jay,2
310,Blue Sky,1
311,Blue Spruce,6
312,Blue Star,175
313,Blue Star/N I 196,6
314,Blue Star/S I 196,5
315,Blue Water,1
316,Blueberry Pine,2
317,Bluebird,4
318,Bluegill,2
319,Bluff,3
320,Bluff Creek,1
321,Boardwalk,6
322,Bode'Wadmi,2
323,Bolks,3
324,Bond,4
325,Boot Lake Ridge,3
326,Booth,1
327,Bordeaux,1
328,Bosek,1
329,Boulder,7
330,Box Canyon,2
331,Boysen,8
332,Braden,2
333,Bradley,4
334,Brady,2
335,Braeden,1
336,Bramblewood,5
337,Brandon,1
338,Brandy,1
339,Breanna's,2
340,Breezy Point,1
341,Breezy Ty,1
342,Brenda,1
343,Brenner,1
344,Brentwood,3
345,Brianne,1
346,Briarlane,2
347,Briarwood,2
348,Bridge,50
349,Bridges Acres,2
350,Bridgeview,1
351,Briggs,6
352,Brigham,6
353,Brighton,4
354,Brinn Vista,1
355,Brittany,3
356,Broad,5
357,Bronson,2
358,Brook,1
359,Brook Point,1
