OBJECTID,FMCDL,Cnt_FMCDL
-1, ,11
-1,00840,5
-1,01260,407
-1,01280,468
-1,09240,1
-1,12240,17
-1,13700,712
-1,15200,348
-1,16720,240
-1,17440,2
-1,17980,5
-1,22680,631
-1,22740,290
-1,27740,116
-1,28120,366
-1,31240,12
-1,31360,424
-1,35720,444
-1,37460,447
-1,38640,633
-1,38660,17
-1,39200,357
-1,41520,13
-1,45180,630
-1,46600,480
-1,46760,537
-1,"49,45",2
-1,50840,334
-1,52000,323
-1,55200,321
-1,60980,1
-1,61620,275
-1,61640,478
-1,61820,324
-1,62460,26
-1,64280,1
-1,64740,347
-1,66260,6
-1,71100,619
-1,71700,178
-1,71720,636
-1,74980,7
-1,75000,1
-1,80620,272
-1,81580,275
-1,84580,305
-1,84880,225
-1,84900,437
-1,89020,2
-1,89280,19
-1,F,1
-1,v,1
