OBJECTID,RAMPID,Cnt_RAMPID
-1, ,12939
-1,005A,2
-1,005B,1
-1,005C,1
-1,005D,1
-1,005E,1
-1,005F,1
-1,006A,1
-1,006B,1
-1,006C,1
-1,006D,1
-1,007A,1
-1,007B,1
-1,008A,1
-1,008B,1
-1,008C,1
-1,008D,1
-1,009A,1
-1,009B,2
-1,009C,2
-1,009D,1
-1,010A,1
-1,010B,1
-1,010C,1
-1,010D,1
-1,011A,1
-1,011B,1
-1,011C,1
-1,011D,1
-1,022A,1
-1,022D,1
-1,022E,1
-1,022F,2
-1,026A,1
-1,026B,1
-1,026C,1
-1,026D,1
-1,030A,1
-1,030B,1
-1,030C,1
-1,030D,1
-1,030E,1
-1,034A,1
-1,034B,1
-1,034C,1
-1,034D,1
-1,036A,2
-1,036B,1
-1,036C,1
-1,036D,2
-1,036E,1
-1,036F,1
-1,041A,2
-1,041B,3
-1,041C,2
-1,041D,1
-1,049A,3
-1,049B,2
-1,049C,1
-1,049D,3
-1,049E,1
-1,050A,1
-1,050B,1
-1,050C,2
-1,050D,1
-1,050E,2
-1,050F,3
-1,050G,1
-1,RA1A,1
-1,RA1B,1
-1,RA2A,1
-1,RA2B,1
