OBJECTID,ROADNAME,Cnt_ROADNAME
1, ,171
2,1 Cobblestone Aly,1
3,100th Ave,2
4,101st Ave,23
5,102nd Ave,82
6,103rd Ave,32
7,103rd/52nd Cutoff,1
8,104th Ave,63
9,104th/40th Cutoff,1
10,105th Ave,32
11,106th Ave,61
12,106th/N US 131 RAMP,1
13,107th Ave,41
14,108th Ave,55
15,108th St,11
16,108th St SW,18
17,109th Ave,76
18,109th/N I 196 RAMP,1
19,109th/S I 196 RAMP,1
20,10th St,51
21,10th/137th Cutoff (Obliterated),1
22,110th Ave,58
23,111th Ave,32
24,112th,1
25,112th Ave,63
26,113th Ave,28
27,114th Ave,45
28,115th Ave,14
29,116th Ave,76
30,116th/N US 131 RAMP,1
31,116th/S US 131 RAMP,1
32,117th Ave,21
33,118th Ave,82
34,119th Ave,16
35,11th St,21
36,120th Ave,75
37,121st Ave,33
38,121st St,1
39,121st/15th Cutoff Rd,1
40,122nd Ave,80
41,123rd Ave,30
42,124th Ave,79
43,124th/N I 196 RAMP,1
44,124th/N US 131 RAMP,1
45,124th/S I 196 RAMP,1
46,125th Ave,40
47,126th Ave,73
48,127th Ave,47
49,128th Ave,73
50,128th/47th Cutoff,1
51,129th Ave,32
52,129th/N US 131 RAMP,2
53,12th St,64
54,12th/S US 131 RAMP,2
55,130th Ave,55
56,131st Ave,20
57,132nd Ave,61
58,133rd Ave,55
59,134th Ave,60
60,135th Ave,51
61,135th/N US 131 RAMP,1
62,135th/S US 131 RAMP,1
63,136th Ave,97
64,136th/63rd Cutoff,1
65,137th Ave,32
66,138th Ave,73
67,139th Ave,21
68,13th St,27
69,140th Ave,99
70,141st Ave,35
71,142nd Ave,125
72,142nd/N US 131 RAMP,1
73,142nd/S US 131 RAMP,1
74,143rd Ave,43
75,144th Ave,102
76,145th Ave,26
77,146th Ave,102
78,146th St,1
79,147th Ave,53
80,14th St,41
81,15th St,22
82,16th St,59
83,17th St,16
84,18th St,52
85,19th St,36
86,1st St,8
87,2 Cobblestone Aly,1
88,20th St,45
89,21st St,47
90,22nd St,37
91,23rd St,20
92,24th St,40
93,25th St,11
94,26th St,66
95,27th St,15
96,28th St,43
97,29th St,7
98,2nd Division St,1
99,2nd St,54
100,30th St,63
101,31st St,3
102,32nd St,46
103,33rd St,9
104,34th St,57
105,35th St,14
106,36th St,48
107,37th St,17
108,38 1/2 St,1
109,38th St,48
110,39th St,19
111,3rd St,9
112,40th Ave,2
113,40th St,34
114,41st St,28
115,42nd St,43
116,42nd/104th Cutoff,1
117,42nd/Baseline Cutoff,1
118,43rd St,34
119,44th Ave,1
120,44th St,55
121,45th St,16
122,46th St,44
123,46th/109th Cutoff,1
124,47th St,35
125,48th St,64
126,49th St,17
127,4th Ave,1
128,4th St,53
129,50th St,30
130,51st St,11
131,52nd St,58
132,52nd/104th Cutoff,1
133,53rd St,21
134,54th St,48
135,54th/103rd Cutoff,1
136,55th St,32
137,56th St,60
138,56th/128th Cutoff,1
139,57th St,19
140,58th St,56
