OBJECTID,ROADNAME1,Cnt_ROADNAME1
1, ,11150
2,101st Ave,1
3,102nd Ave,9
4,108th St SE,11
5,109th Ave,1
6,111th Ave,1
7,112th Ave,1
8,116th Ave,1
9,116th St,8
10,121st Ave,1
11,122nd Ave,2
12,123rd St,2
13,124th Ave,2
14,12th St,1
15,130th Ave,12
16,131st St,2
17,134th Ave,1
18,135th Ave,26
19,144th Ave,8
20,145th Ave,7
21,146th Ave,3
22,147th Ave,1
23,18th St,2
24,1st Division St,1
25,1st St,4
26,22nd St,1
27,26th St,1
28,2nd,7
29,2nd Ave,1
30,2nd St,19
31,32nd St,15
32,33rd St,8
33,37th St,1
34,39th St,1
35,3rd,5
36,3rd Ave,1
37,3rd St,8
38,44th St,2
39,48th St,2
40,4th,3
41,4th Ave,2
42,4th St,3
43,54th St,3
44,57th St,4
45,59th St,2
46,61st St,5
47,62nd St,1
48,66th St,9
49,6th St,3
50,70th St,22
51,A-2,185
52,A-37,61
53,A-42,49
54,A-45,123
55,A Ave,1
56,Abandoned,5
57,Allegan Dam Rd,2
58,Amber Ln,1
59,Ames Ave,2
60,Apple Blossom Ct,1
61,Audubon Rd,8
62,Audubon St,1
63,Ave,1
64,B St,1
65,Baseline Middle School Access,4
66,Baseline Rd,1
67,Bauman's Grove,2
68,Beck Rd,1
69,Bob Laar's Rd,1
70,Brandon Dr,1
71,Bridge St,2
72,Briggs St,1
73,Brookpoint Dr,1
74,Buck Trl,1
75,Buckingham St,3
76,Camelot Pl,1
77,Cherry Ave,4
78,Clan Alpine St,3
79,Clearview Dr,1
80,Club House Ct,1
81,Colonial Rd,2
82,Conference St,5
83,Country Ln,1
84,Crawford Ave,1
85,Creek St,1
86,Crossroads Ln,1
87,Dahlia Ave,7
88,Deep Woods Bayou,1
89,Deer Run Dr,2
90,Devon St,2
91,Dorothy Dr,1
92,Douglas St,2
93,Drenthen Dr,2
94,Dumont Lake Dr,1
95,Dumont Rd,1
96,E 1st Ave,1
97,E 1st St,2
98,E Lake 16 Dr,1
99,E Ottogan St,6
100,E Shore Dr,3
101,E Van Bruggen Dr,1
102,Eagle Greens Blvd,4
103,East Dr,3
104,East Lake Rd,2
105,Eaton Park,3
106,Edgewater Ter,3
107,Elizabeth St,3
108,Ell Court,2
109,Elm Dr,1
110,Elm St,3
111,Elmwood St,1
112,Ely Lake Boat Launch,1
113,Ely Lake Campground,41
114,Exit 22,2
115,Exit 26,2
116,Exit 30,2
117,Exit 34,2
118,Exit 36,4
119,Exit 41,4
120,Exit 49,4
121,Exit 49A,3
122,Exit 49B,2
123,Exit 50,1
124,Exit 50 A,1
125,Exit 50 B,1
126,Exit 50 D,1
127,Exit 50 E,2
128,Exit 55,2
129,Exit 59,2
130,Exit 61,13
131,Exit 64,2
132,Exit 68,2
133,Fabun Ave,6
134,Fairhaven Dr,2
135,Falcon Dr,1
136,Falcon Way,1
137,Fern Walk,1
138,Fountainview Cir,3
139,Fourth St,1
140,Fredericks Ln,1
141,Gerhardt Rd,1
142,Golf Rd,8
143,Golfview Blvd,3
144,Grand View Dr,2
145,Grandville Ave,4
146,Grant Rd,3
147,Gun River Ct,1
148,Gun River Dr,1
149,Halcyon Hills Dr,1
150,Hanlon Ct,1
151,Haworth Ct,3
152,Hawthorne Ct,1
153,Hidden Ridge Resort,20
154,Hide A Way,1
155,High School Access,11
156,Hillside Ln,1
157,Hooker Rd,3
158,Hughes Pl,1
159,I 196BL,34
160,I 94 BL,2
161,Imperial Pt,1
162,Indian Point Rd,1
163,Indianapolis Rd,1
164,Jackrabbit Ct,3
165,Jackson Rd,13
166,Jackson St,3
167,Jupiter Dr,1
168,Kalamazoo Ave,21
169,Kaywood St,1
170,Keith Rd,3
171,Kelly Dr,1
