OBJECTID,ZIPL,Cnt_ZIPL
-1,0.000000000000000,253
-1,925.000000000000000,1
-1,4908.000000000000000,1
-1,29323.000000000000000,1
-1,39328.000000000000000,4
-1,49010.000000000000000,1875
-1,49026.000000000000000,43
-1,49055.000000000000000,63
-1,49056.000000000000000,190
-1,49070.000000000000000,276
-1,49078.000000000000000,688
-1,49080.000000000000000,931
-1,49090.000000000000000,677
-1,49315.000000000000000,24
-1,49316.000000000000000,211
-1,49320.000000000000000,1
-1,49323.000000000000000,958
-1,49328.000000000000000,590
-1,49333.000000000000000,28
-1,49344.000000000000000,294
-1,49348.000000000000000,966
-1,49349.000000000000000,1
-1,49406.000000000000000,190
-1,49408.000000000000000,1204
-1,49419.000000000000000,770
-1,49420.000000000000000,1
-1,49423.000000000000000,1703
-1,49426.000000000000000,5
-1,49450.000000000000000,413
-1,49453.000000000000000,611
-1,49464.000000000000000,56
